t,c_pitch_vel_ref,waist_pos_ref,wheel_vel_ref
0.12,0.0,0.27752398848,0.0
0.122,0.0,0.28650518310420475,0.0
0.124,0.0,0.2955001919963136,0.0
0.126,0.0,0.30449980800368637,0.0
0.128,0.0,0.31349481689579517,0.0
0.13,0.0,0.32247601151999994,0.0
0.132,0.0,0.33143420595732476,0.0
0.134,0.0,0.34036024967823353,0.0
0.136,0.0,0.34924504169840637,0.0
0.138,0.0,0.3580795447345154,0.0
0.14,0.0,0.36685479936000015,0.0
0.14200000000000002,0.0,0.3755619381608448,0.0
0.14400000000000002,0.0,0.38419219989135367,0.0
0.146,0.0,0.3927369436299262,0.0
0.148,0.0,0.401187662934835,0.0
0.15,0.0,0.4095359999999998,0.0
0.152,0.0,0.4177737598107648,0.0
0.154,0.0,0.42589292429967357,0.0
0.156,0.0,0.43388566650224636,0.0
0.158,0.0,0.44174436471275524,0.0
0.16,0.0,0.4494616166400003,0.0
0.162,0.0,0.4570302535630845,0.0
0.164,0.0,0.4644433544871938,0.0
0.166,0.0,0.4716942602993664,0.0
0.168,0.0,0.4787765879242751,0.0
0.17,0.0,0.4856842444799997,0.0
0.17200000000000001,0.0,0.49241144143380466,0.0
0.17400000000000002,0.0,0.4989527087579133,0.0
0.176,0.0,0.5053029090852865,0.0
0.178,0.0,0.5114572518653955,0.0
0.18,0.0,0.5174113075199999,0.0
0.182,0.0,0.5231610215989251,0.0
0.184,0.0,0.5287027289358335,0.0
0.186,0.0,0.5340331678040066,0.0
0.188,0.0,0.5391494940721151,0.0
0.19,0.0,0.5440492953600002,0.0
0.192,0.0,0.5487306051944445,0.0
0.194,0.0,0.5531919171649536,0.0
0.196,0.0,0.5574321990795266,0.0
0.198,0.0,0.5614509071204351,0.0
0.2,0.0,0.5652480000000004,0.0
0.202,0.0,0.5688239531163648,0.0
0.20400000000000001,0.0,0.5721797727092741,0.0
0.20600000000000002,0.0,0.5753170100158463,0.0
0.20800000000000002,0.0,0.578237775426355,0.0
0.21,0.0,0.5809447526399996,0.0
0.212,0.0,0.5834412128206842,0.0
0.214,0.0,0.5857310287527933,0.0
0.216,0.0,0.5878186889969661,0.0
0.218,0.0,0.5897093120458756,0.0
0.22,0.0,0.5914086604799995,0.0
0.222,0.0,0.5929231551234042,0.0
0.224,0.0,0.5942598891995138,0.0
0.226,0.0,0.5954266424868861,0.0
0.228,0.0,0.596431895474995,0.0
0.23,0.0,0.5972848435200002,0.0
0.232,0.0,0.5979954110005251,0.0
0.234,0.0,0.5985742654734328,0.0
0.23600000000000002,0.0,0.5990328318296059,0.0
0.23800000000000002,0.0,0.5993833064497146,0.0
0.24,0.0,0.5996386713599998,0.0
0.242,0.0,0.5998127083880448,0.0
0.244,0.0,0.5999200133185529,0.0
0.246,0.0,0.5999760100491257,0.0
0.248,0.0,0.5999969647460349,0.0
0.25,0.0,0.5999999999999996,0.0
0.252,2.4812825788751753e-05,0.0,18.0
0.254,0.00019518326474622804,0.0,18.0
0.256,0.0006476416666666677,0.0,18.0
0.258,0.0015090743484224988,0.0,18.0
0.26,0.00289694787379973,0.0,18.0
0.262,0.004919533333333341,0.0,18.0
0.264,0.007676130624142672,0.0,18.0
0.266,0.011257292729766822,0.0,18.0
0.268,0.01574505000000002,0.0,18.0
